157.0.0.0,157.0.255.255,AS,CN,Jiangsu,"Xuzhou (Pizhou Shi)",34.3388,118.014
157.48.39.0,157.48.39.247,AS,IN,Telangana,Hyderabad,17.3841,78.4564
157.48.39.248,157.48.40.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.41.0,157.48.41.255,AS,IN,Telangana,Serilingampalle,17.4931,78.302
157.48.42.0,157.48.43.47,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.43.48,157.48.43.231,AS,IN,"Andhra Pradesh",Yārāda,17.6587,83.2742
157.48.43.232,157.48.45.7,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.45.8,157.48.45.255,AS,IN,"Andhra Pradesh",Ongole,15.5036,80.0445
157.48.46.0,157.48.46.151,AS,IN,"Andhra Pradesh",Yārāda,17.6587,83.2742
157.48.46.152,157.48.47.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.48.0,157.48.48.191,AS,IN,Telangana,Malkajgiri,17.4478,78.5263
157.48.48.192,157.48.49.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.50.0,157.48.50.255,AS,IN,"Andhra Pradesh",Jammalamadugu,14.8468,78.3831
157.48.51.0,157.48.51.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.52.0,157.48.52.223,AS,IN,Telangana,Hyderabad,17.3841,78.4564
157.48.52.224,157.48.54.19,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.54.20,157.48.54.255,AS,IN,Telangana,Serilingampalle,17.4931,78.302
157.48.55.0,157.48.55.255,AS,IN,"Andhra Pradesh",Yārāda,17.6587,83.2742
157.48.56.0,157.48.56.247,AS,IN,"Andhra Pradesh",Nellore,14.4499,79.987
157.48.56.248,157.48.58.3,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.58.4,157.48.58.237,AS,IN,"Andhra Pradesh",Yārāda,17.6587,83.2742
157.48.58.238,157.48.60.31,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.60.32,157.48.60.239,AS,IN,"Andhra Pradesh",Yārāda,17.6587,83.2742
157.48.60.240,157.48.61.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.62.0,157.48.62.255,AS,IN,Telangana,Serilingampalle,17.4931,78.302
157.48.63.0,157.48.64.39,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.64.40,157.48.64.239,AS,IN,Telangana,Bellampalli,19.0558,79.493
157.48.64.240,157.48.65.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.66.0,157.48.67.127,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.67.128,157.48.67.255,AS,IN,Telangana,Medak,18.0453,78.2608
157.48.68.0,157.48.68.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.69.0,157.48.69.255,AS,IN,Telangana,Hyderabad,17.3841,78.4564
157.48.70.0,157.48.70.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.71.0,157.48.71.255,AS,IN,Telangana,Khammam,17.2477,80.1437
157.48.72.0,157.48.72.255,AS,IN,Telangana,"Gaddi Annaram",17.3669,78.5242
157.48.73.0,157.48.74.55,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.74.56,157.48.74.231,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.74.232,157.48.75.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.76.0,157.48.76.255,AS,IN,"Andhra Pradesh",Gajuwaka,17.7,83.2167
157.48.77.0,157.48.77.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.78.0,157.48.78.255,AS,IN,"Andhra Pradesh",Rajahmundry,17.0052,81.7778
157.48.79.0,157.48.79.255,AS,IN,Telangana,Medak,18.0453,78.2608
157.48.80.0,157.48.81.63,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.81.64,157.48.81.255,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.82.0,157.48.82.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.83.0,157.48.83.255,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.84.0,157.48.85.55,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.85.56,157.48.85.255,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.86.0,157.48.86.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.87.0,157.48.87.255,AS,IN,Telangana,Manuguru,17.9302,80.8267
157.48.88.0,157.48.88.255,AS,IN,"Andhra Pradesh",Yārāda,17.6587,83.2742
157.48.89.0,157.48.89.255,AS,IN,Telangana,Khammam,17.2477,80.1437
157.48.90.0,157.48.91.103,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.91.104,157.48.91.255,AS,IN,Telangana,Medak,18.0453,78.2608
157.48.92.0,157.48.92.255,AS,IN,Telangana,Khammam,17.2477,80.1437
157.48.93.0,157.48.93.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.94.0,157.48.94.255,AS,IN,Telangana,"Gaddi Annaram",17.3669,78.5242
157.48.95.0,157.48.95.159,AS,IN,Telangana,Bālāpur,17.3102,78.4997
157.48.95.160,157.48.97.23,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.97.24,157.48.97.255,AS,IN,Telangana,"Gaddi Annaram",17.3669,78.5242
157.48.98.0,157.48.98.255,AS,IN,Telangana,Hyderabad,17.3841,78.4564
157.48.99.0,157.48.99.255,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.100.0,157.48.100.255,AS,IN,Telangana,Bālāpur,17.3102,78.4997
157.48.101.0,157.48.101.255,AS,IN,Telangana,Mancherial,18.8707,79.4286
157.48.102.0,157.48.102.255,AS,IN,Telangana,Medak,18.0453,78.2608
157.48.103.0,157.48.103.255,AS,IN,Telangana,"Lal Bahadur Nagar",17.3477,78.5576
157.48.104.0,157.48.105.127,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.105.128,157.48.105.255,AS,IN,Telangana,Hyderabad,17.3841,78.4564
157.48.106.0,157.48.106.255,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.107.0,157.48.107.255,AS,IN,Telangana,Nizāmābād,18.6715,78.0988
157.48.108.0,157.48.109.79,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.109.80,157.48.109.239,AS,IN,"Andhra Pradesh",Nellore,14.4499,79.987
157.48.109.240,157.48.111.63,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.111.64,157.48.111.127,AS,IN,Telangana,Quthbullapur,17.5011,78.4582
157.48.111.128,157.48.113.7,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.113.8,157.48.113.255,AS,IN,"Andhra Pradesh",Rāzampeta,14.1954,79.159
157.48.114.0,157.48.114.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.115.0,157.48.115.255,AS,IN,Telangana,Kūkatpalli,17.4849,78.4138
157.48.116.0,157.48.117.15,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.117.16,157.48.117.255,AS,IN,"Andhra Pradesh",Anantapur,14.6778,77.6081
157.48.118.0,157.48.118.127,AS,IN,"Andhra Pradesh",Rāzampeta,14.1954,79.159
157.48.118.128,157.48.120.15,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.120.16,157.48.120.63,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.120.64,157.48.121.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.122.0,157.48.122.255,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.123.0,157.48.124.73,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.124.74,157.48.124.235,AS,IN,Telangana,Kāmāreddi,18.32,78.3418
157.48.124.236,157.48.125.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.126.0,157.48.126.255,AS,IN,"Andhra Pradesh",Kākināda,16.9604,82.2381
157.48.127.0,157.48.127.199,AS,IN,Telangana,"Gaddi Annaram",17.3669,78.5242
157.48.127.200,157.48.191.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.192.0,157.48.192.255,AS,IN,Telangana,Nārsingi,18.0447,78.4252
157.48.193.0,157.48.193.255,AS,IN,Telangana,Medak,18.0453,78.2608
157.48.194.0,157.48.195.9,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.195.10,157.48.195.255,AS,IN,"Andhra Pradesh",Rāzampeta,14.1954,79.159
157.48.196.0,157.48.196.255,AS,IN,"Andhra Pradesh",Penugonda,16.6536,81.7455
157.48.197.0,157.48.197.255,AS,IN,"Andhra Pradesh",Rāzampeta,14.1954,79.159
157.48.198.0,157.48.198.255,AS,IN,"Andhra Pradesh",Vetapālem,15.785,80.3066
157.48.199.0,157.48.199.223,AS,IN,Telangana,Serilingampalle,17.4931,78.302
157.48.199.224,157.48.201.1,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.201.2,157.48.201.255,AS,IN,"Andhra Pradesh",Anantapur,14.6778,77.6081
157.48.202.0,157.48.202.223,AS,IN,"Andhra Pradesh",Nellore,14.4499,79.987
157.48.202.224,157.48.203.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.204.0,157.48.204.223,AS,IN,"Andhra Pradesh",Yārāda,17.6587,83.2742
157.48.204.224,157.48.205.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.206.0,157.48.206.239,AS,IN,"Andhra Pradesh",Guntakal,15.1711,77.3624
157.48.206.240,157.48.207.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.208.0,157.48.208.159,AS,IN,Telangana,Kūkatpalli,17.4849,78.4138
157.48.208.160,157.48.209.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.210.0,157.48.210.191,AS,IN,"Andhra Pradesh",Nellore,14.4499,79.987
157.48.210.192,157.48.212.199,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.212.200,157.48.212.255,AS,IN,"Andhra Pradesh",Anantapur,14.6778,77.6081
157.48.213.0,157.48.213.255,AS,IN,Telangana,Hyderabad,17.3841,78.4564
157.48.214.0,157.48.214.255,AS,IN,Telangana,Serilingampalle,17.4931,78.302
157.48.215.0,157.48.215.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.216.0,157.48.216.255,AS,IN,Telangana,"Gaddi Annaram",17.3669,78.5242
157.48.217.0,157.48.218.127,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.218.128,157.48.218.231,AS,IN,Telangana,Nizāmābād,18.6715,78.0988
157.48.218.232,157.48.220.15,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.220.16,157.48.220.203,AS,IN,Telangana,"Lal Bahadur Nagar",17.3477,78.5576
157.48.220.204,157.48.222.51,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.222.52,157.48.222.255,AS,IN,Telangana,Hyderabad,17.3841,78.4564
157.48.223.0,157.48.223.175,AS,IN,"Andhra Pradesh",Rajahmundry,17.0052,81.7778
157.48.223.176,157.48.224.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.225.0,157.48.225.159,AS,IN,Telangana,Serilingampalle,17.4931,78.302
157.48.225.160,157.48.227.11,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.227.12,157.48.227.251,AS,IN,"Andhra Pradesh",Nellore,14.4499,79.987
157.48.227.252,157.48.229.79,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.229.80,157.48.229.255,AS,IN,"Andhra Pradesh",Kosigi,15.8551,77.2446
157.48.230.0,157.48.231.23,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.231.24,157.48.231.255,AS,IN,Telangana,Medak,18.0453,78.2608
157.48.232.0,157.48.232.255,AS,IN,"Andhra Pradesh",Chittoor,13.2106,79.0956
157.48.233.0,157.48.234.7,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.234.8,157.48.234.255,AS,IN,"Andhra Pradesh",Yārāda,17.6587,83.2742
157.48.235.0,157.48.235.255,AS,IN,Telangana,"Lal Bahadur Nagar",17.3477,78.5576
157.48.236.0,157.48.236.223,AS,IN,Telangana,Mahbūbnagar,16.7439,77.986
157.48.236.224,157.48.238.111,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.238.112,157.48.238.183,AS,IN,Telangana,Serilingampalle,17.4931,78.302
157.48.238.184,157.48.240.23,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.240.24,157.48.240.199,AS,IN,"Andhra Pradesh",Nellore,14.4499,79.987
157.48.240.200,157.48.241.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.242.0,157.48.242.239,AS,IN,Telangana,Serilingampalle,17.4931,78.302
157.48.242.240,157.48.244.71,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.244.72,157.48.244.237,AS,IN,Telangana,"Gaddi Annaram",17.3669,78.5242
157.48.244.238,157.48.246.23,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.246.24,157.48.246.219,AS,IN,"Andhra Pradesh",Akkarampalle,13.65,79.42
157.48.246.220,157.48.247.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.248.0,157.48.248.239,AS,IN,Telangana,Kūkatpalli,17.4849,78.4138
157.48.248.240,157.48.250.39,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.250.40,157.48.250.223,AS,IN,Telangana,Medak,18.0453,78.2608
157.48.250.224,157.48.251.255,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.252.0,157.48.252.255,AS,IN,"Andhra Pradesh",Jammalamadugu,14.8468,78.3831
157.48.253.0,157.48.253.239,AS,IN,"Andhra Pradesh",Yārāda,17.6587,83.2742
157.48.253.240,157.48.255.71,AS,IN,"Andhra Pradesh",Vinukonda,15.9129,79.74
157.48.255.72,157.48.255.255,AS,IN,"Andhra Pradesh",Jammalamadugu,14.8468,78.3831
157.49.0.0,157.49.127.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.128.0,157.49.128.239,AS,IN,Karnataka,Chikmagalūr,13.3223,75.774
157.49.128.240,157.49.129.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.130.0,157.49.130.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.131.0,157.49.132.7,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.132.8,157.49.132.255,AS,IN,Karnataka,Afzalpur,17.1999,76.3602
157.49.133.0,157.49.133.255,AS,IN,Karnataka,Kūdligi,14.905,76.3853
157.49.134.0,157.49.135.31,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.135.32,157.49.135.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.136.0,157.49.136.223,AS,IN,Karnataka,Hoskote,13.0707,77.7981
157.49.136.224,157.49.137.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.138.0,157.49.138.255,AS,IN,Karnataka,Tumkūr,13.3414,77.1022
157.49.139.0,157.49.139.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.140.0,157.49.140.239,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.140.240,157.49.141.239,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.141.240,157.49.142.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.143.0,157.49.143.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.144.0,157.49.145.15,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.145.16,157.49.145.155,AS,IN,Karnataka,Shimoga,13.9316,75.5679
157.49.145.156,157.49.147.7,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.147.8,157.49.147.207,AS,IN,Karnataka,Hubli,15.3478,75.1338
157.49.147.208,157.49.148.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.149.0,157.49.149.255,AS,IN,Karnataka,Shimoga,13.9316,75.5679
157.49.150.0,157.49.150.191,AS,IN,Karnataka,Sirsi,14.6207,74.8355
157.49.150.192,157.49.151.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.152.0,157.49.152.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.153.0,157.49.153.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.154.0,157.49.154.255,AS,IN,Karnataka,Belgaum,15.8521,74.5045
157.49.155.0,157.49.155.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.156.0,157.49.156.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.157.0,157.49.157.255,AS,IN,Karnataka,Koppal,15.3452,76.1548
157.49.158.0,157.49.158.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.159.0,157.49.159.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.160.0,157.49.160.255,AS,IN,Karnataka,Tumkūr,13.3414,77.1022
157.49.161.0,157.49.162.15,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.162.16,157.49.162.239,AS,IN,Karnataka,Sirsi,14.6207,74.8355
157.49.162.240,157.49.164.38,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.164.39,157.49.164.154,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.164.155,157.49.166.111,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.166.112,157.49.166.231,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.166.232,157.49.167.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.168.0,157.49.168.223,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.168.224,157.49.170.101,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.170.102,157.49.170.255,AS,IN,Karnataka,Hoskote,13.0707,77.7981
157.49.171.0,157.49.172.7,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.172.8,157.49.172.255,AS,IN,Karnataka,Gokak,16.169,74.8239
157.49.173.0,157.49.173.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.174.0,157.49.174.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.175.0,157.49.175.191,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.175.192,157.49.177.31,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.177.32,157.49.177.159,AS,IN,Karnataka,Chikmagalūr,13.3223,75.774
157.49.177.160,157.49.179.15,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.179.16,157.49.179.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.180.0,157.49.180.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.181.0,157.49.181.223,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.181.224,157.49.183.6,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.183.7,157.49.183.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.184.0,157.49.184.191,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.184.192,157.49.186.59,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.186.60,157.49.186.255,AS,IN,Karnataka,Sindhnūr,15.7698,76.7558
157.49.187.0,157.49.187.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.188.0,157.49.188.255,AS,IN,Karnataka,Gadag-Betageri,15.4167,75.6167
157.49.189.0,157.49.189.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.190.0,157.49.190.255,AS,IN,Karnataka,Tumkūr,13.3414,77.1022
157.49.191.0,157.49.191.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.192.0,157.49.192.255,AS,IN,Maharashtra,Dudhani,17.3579,76.3669
157.49.193.0,157.49.193.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.194.0,157.49.194.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.195.0,157.49.195.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.196.0,157.49.196.255,AS,IN,Karnataka,Yelahanka,13.1007,77.5963
157.49.197.0,157.49.197.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.198.0,157.49.198.255,AS,IN,Karnataka,Vīrarājendrapet,12.1964,75.8051
157.49.199.0,157.49.200.63,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.200.64,157.49.201.63,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.201.64,157.49.201.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.202.0,157.49.202.255,AS,IN,Karnataka,Sringeri,13.417,75.2527
157.49.203.0,157.49.203.239,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.203.240,157.49.204.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.205.0,157.49.205.255,AS,IN,"Tamil Nadu",Hosūr,12.7365,77.8326
157.49.206.0,157.49.206.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.207.0,157.49.208.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.209.0,157.49.209.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.210.0,157.49.210.255,AS,IN,Karnataka,Rāichūr,16.2055,77.3557
157.49.211.0,157.49.211.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.212.0,157.49.212.255,AS,IN,Karnataka,Suntikoppa,12.4559,75.8297
157.49.213.0,157.49.213.255,AS,IN,Karnataka,Bīdar,17.9133,77.5301
157.49.214.0,157.49.214.255,AS,IN,Karnataka,Bangarapet,12.9912,78.178
157.49.215.0,157.49.215.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.216.0,157.49.216.255,AS,IN,Karnataka,Sāgar,14.165,75.029
157.49.217.0,157.49.217.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.218.0,157.49.218.191,AS,IN,Karnataka,Shorāpur,16.521,76.7574
157.49.218.192,157.49.220.31,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.220.32,157.49.220.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.221.0,157.49.221.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.222.0,157.49.222.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.223.0,157.49.223.255,AS,IN,Karnataka,Rānībennur,14.6224,75.6295
157.49.224.0,157.49.224.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.225.0,157.49.225.207,AS,IN,Karnataka,Dasarahalli,13.099,77.832
157.49.225.208,157.49.226.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.227.0,157.49.227.255,AS,IN,Karnataka,Afzalpur,17.1999,76.3602
157.49.228.0,157.49.229.31,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.229.32,157.49.229.143,AS,IN,Karnataka,Gulbarga,17.3358,76.8376
157.49.229.144,157.49.230.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.231.0,157.49.232.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.233.0,157.49.234.142,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.234.143,157.49.237.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.238.0,157.49.239.13,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.239.14,157.49.239.169,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.239.170,157.49.240.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.241.0,157.49.241.255,AS,IN,Karnataka,Afzalpur,17.1999,76.3602
157.49.242.0,157.49.242.255,AS,IN,Karnataka,Mysore,12.2979,76.6393
157.49.243.0,157.49.244.43,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.244.44,157.49.244.204,AS,IN,Karnataka,Somvārpet,12.597,75.8496
157.49.244.205,157.49.246.79,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.246.80,157.49.246.159,AS,IN,Karnataka,Bhadravati,13.8485,75.705
157.49.246.160,157.49.247.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.248.0,157.49.248.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.249.0,157.49.249.255,AS,IN,Karnataka,Afzalpur,17.1999,76.3602
157.49.250.0,157.49.250.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
157.49.251.0,157.49.252.207,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.252.208,157.49.252.231,AS,IN,Karnataka,Chikmagalūr,13.3223,75.774
157.49.252.232,157.49.253.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.49.254.0,157.49.254.255,AS,IN,Karnataka,Bantvāl,12.8905,75.0349
157.49.255.0,157.49.255.255,AS,IN,Karnataka,Gadag-Betageri,15.3173,75.7139
157.50.0.0,157.50.0.255,AS,IN,"Tamil Nadu",Turaiyūr,11.1271,78.6569
157.50.1.0,157.50.1.223,AS,IN,"Tamil Nadu",Hosūr,12.7365,77.8326
157.50.1.224,157.50.2.255,AS,IN,"Tamil Nadu",Turaiyūr,11.1271,78.6569
157.50.3.0,157.50.3.255,AS,IN,"Tamil Nadu",Bhavāni,11.4455,77.6822
157.50.4.0,157.50.4.255,AS,IN,"Tamil Nadu",Ambattur,13.0982,80.1615
157.50.5.0,157.50.5.255,AS,IN,"Tamil Nadu",Melur,10.0324,78.3393
157.50.6.0,157.50.6.255,AS,IN,"Tamil Nadu",Ooty,11.4134,76.6952
157.50.7.0,157.50.7.255,AS,IN,"Tamil Nadu",Melur,10.0324,78.3393
157.50.8.0,157.50.8.255,AS,IN,"Tamil Nadu",Tiruvannamalai,12.2253,79.0747
157.50.9.0,157.50.9.255,AS,IN,"Tamil Nadu",Ambattur,13.0982,80.1615
157.50.10.0,157.50.11.255,AS,IN,"Tamil Nadu",Turaiyūr,11.1271,78.6569
157.50.12.0,157.50.12.223,AS,IN,"Tamil Nadu",Paramagudi,9.54633,78.5907
157.50.12.224,157.50.13.255,AS,IN,"Tamil Nadu",Turaiyūr,11.1271,78.6569
157.50.14.0,157.50.14.255,AS,IN,"Tamil Nadu",Karur,10.9577,78.0809
157.50.15.0,157.50.15.255,AS,IN,"Tamil Nadu",Erode,11.3428,77.7274
157.50.16.0,157.50.16.255,AS,IN,"Tamil Nadu",Turaiyūr,11.1271,78.6569
157.50.17.0,157.50.17.255,AS,IN,"Tamil Nadu",Bhavāni,11.4455,77.6822
157.50.18.0,157.50.18.255,AS,IN,"Tamil Nadu",Coimbatore,11.0056,76.9661
157.50.19.0,157.50.20.95,AS,IN,"Tamil Nadu",Turaiyūr,11.1271,78.6569
